"ZIP
code [1]",Size of adjusted gross income,Number of returns [2],Number of single returns,Number of joint returns,Number of head of household returns,Number of individuals,Elderly returns,Farm returns,Unemployment compensation [9],Taxable Social Security benefits,Partnership/S-corp net income (less loss)
98058,"$25,000 under $50,000",4650,3040,760,740,7350,910,0,1460,620,90
98058,"$50,000 under $75,000",3450,1970,970,420,5940,830,30,840,570,120
98058,"$75,000 under $100,000",2430,1030,1120,220,4640,730,0,580,510,110
98058,"$100,000 under $200,000",4880,970,3610,240,12010,1440,0,1140,890,330
98058,"$200,000 or more",1900,210,1640,50,5250,440,0,310,200,280
,,,,,,,,,,,
98059,,19520,8850,8830,1490,38920,4290,20,4410,2440,1360
98059,"$1 under $25,000",3970,3210,420,270,4230,870,0,810,230,80
98059,"$25,000 under $50,000",3280,2200,610,410,4970,680,20,970,490,90
98059,"$50,000 under $75,000",2530,1410,730,310,4370,630,0,590,420,110
98059,"$75,000 under $100,000",1890,800,900,150,3710,600,0,440,430,120
98059,"$100,000 under $200,000",4400,920,3140,270,11190,1040,0,1070,650,360
98059,"$200,000 or more",3450,310,3030,80,10450,470,0,530,220,600
,,,,,,,,,,,
98065,,7010,2630,3770,510,15970,1140,0,1340,650,620
98065,"$1 under $25,000",1210,1040,90,70,1020,210,0,230,60,0
98065,"$25,000 under $50,000",820,570,110,130,1240,160,0,230,110,40
98065,"$50,000 under $75,000",640,360,180,80,1120,180,0,130,110,40
98065,"$75,000 under $100,000",520,220,230,60,1050,140,0,120,110,40
98065,"$100,000 under $200,000",1600,310,1140,110,4250,290,0,340,180,140
98065,"$200,000 or more",2220,130,2020,60,7290,160,0,290,80,360
,,,,,,,,,,,
98070,,5680,2780,2480,340,10080,2460,70,1050,1580,640
98070,"$1 under $25,000",1360,1100,160,90,1510,500,0,280,150,60
98070,"$25,000 under $50,000",1020,700,200,100,1490,380,30,260,290,60
98070,"$50,000 under $75,000",700,370,270,50,1190,350,0,120,260,70
98070,"$75,000 under $100,000",550,200,300,40,1070,290,0,90,220,60
98070,"$100,000 under $200,000",1270,290,920,40,2870,620,40,220,460,150
98070,"$200,000 or more",780,120,630,20,1950,320,0,80,200,240
,,,,,,,,,,,
98072,,12720,5820,6070,670,24830,3470,30,2200,2020,1280
98072,"$1 under $25,000",2340,2010,220,100,2230,550,0,370,160,60
